Item Code,Quantity
2273464,1.0
2273316,1.0
2273266,1.0
227347-2,1.0
2273399,1.0
223791-5,1.0
223894-7,1.0
223893-9,2.0
032727-0,1.0
289447-5,2.0
289446-7,1.0
289449-1,1.0
289451-7,2.0
030570-6,1.0
280264-3,1.0
280251-0,1.0
280261-9,1.0
236946-0,1.0
047216-7,1.0
201159-1,1.0
183096-7,1.0
183090-0,1.0
280622-2,1.0
290143-7,1.0
290140-3,1.0
0647743,1.0
0647719,1.0
285863-7,1.0
285855-3,1.0
078727-5,1.0
126506-5,1.0
2066751,1.0
1265040,1.0
179991-5,1.0
179989-9,1.0
173965-5,1.0
173967-1,1.0
113813-0,1.0
213594-5,1.0
213614-1,1.0
213596-0,1.0
1855071,1.0
119142-8,1.0
118908-3,1.0
253938-5,1.0
253941-9,1.0
253940-1,1.0
164034-1,1.0
