Item Code,Quantity
2273464,1
289449-1,1
030570-6,1
280264-3,1
280251-0,1
280261-9,1
2802668,1
236946-0,1
236945-2,1
284465-2,1
0901439,1
1182781,1
1815422,1
090142-1,1
183096-7,2
183090-0,2
117021-6,1
1170059,1
0647743,3
0647719,3
039986-5,1
2846376,1
0921965,1
213596-0,1
1858596,1
215786-5,1
275975-1,1
275976-9,1
157518-2,1
1689298,1
058486-2,1
294004-7,1
0252387,1
151758-0,1
113813-0,1
117597-5,1
1551282,1
083961-3,1
044593-2,1
253941-9,1
253939-3,1
253940-1,1
253938-5,1
179991-5,1
179989-9,1
264256-9,1
