Item Code,Quantity
267463-8,2.0
272451-6,2.0
2724508,2.0
289451-7,1.0
289448-3,1.0
280261-9,1.0
0584847,1.0
293886-8,1.0
294006-2,1.0
3132826,1.0
0899856,1.0
0681817,2.0
030570-6,1.0
117597-5,1.0
151758-0,2.0
1551282,1.0
113813-0,1.0
047216-7,1.0
078719-2,1.0
0538801,1.0
285863-7,1.0
039986-5,1.0
112599-6,1.0
285868-6,1.0
0921965,1.0
236947-8,1.0
236948-6,1.0
236945-2,2.0
0647719,1.0
219843-0,1.0
0193284,1.0
1168293,1.0
0695312,2.0
0327270,3.0
1109826,2.0
227347-2,1.0
2273316,2.0
2273464,2.0
223791-5,1.0
