Item Code,Quantity
153503-8,1.0
153498-1,1.0
183090-0,1.0
183096-7,1.0
280251-0,1.0
280261-9,1.0
2802668,1.0
2273464,1.0
2273316,1.0
289451-7,1.0
289449-1,1.0
289446-7,1.0
289450-9,1.0
2066751,1.0
126506-5,1.0
233598-2,1.0
258847-3,1.0
236947-8,1.0
236946-0,1.0
117597-5,1.0
161630-9,1.0
268132-8,1.0
161622-6,1.0
253938-5,1.0
118902-6,1.0
309752-4,1.0
0584847,1.0
162903-9,1.0
289447-5,1.0
0431726,1.0
209928-1,1.0
162243-0,1.0
279517-7,1.0
0647743,1.0
0647719,1.0
0921965,1.0
264256-9,1.0
173967-1,1.0
083961-3,1.0
223791-5,1.0
231679-2,1.0
286595-4,1.0
215786-5,1.0
