Line Number,Group Name,Product Number,Product Description,Product Brand,Product Package Size,Customer Product Number,Product Price,Product UOM,USF Class Description,Storage Description
"1","IBProduce","1457100","HONEYDEW, 5-6 COUNT FRESH REF MELON","PACKER",5-6 EA,"","$39.76","CS","PRODUCE, FRESH","REF 41 - 50"
"2","IBProduce","1326438","ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION","CROSS VALLEY FARMS",4/2 LB,"","$21.75","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"3","IBProduce","1072786","PEPPER, BELL GREEN EXTRA-LARGE FRESH REF","RENZI ACQUISITION",10 LB,"","$27.02","CS","PRODUCE, FRESH","REF 41 - 50"
"4","IBProduce","8010498","POTATO, RED A SIZE FRESH REF","PACKER",50 LB,"","$30.28","CS","PRODUCE, FRESH","REF 41 - 50"
"5","IBProduce","4425690","SPINACH, BABY FLAT LEAF PILLOW PACK FRESH REF","CROSS VALLEY FARMS",4 LB,"","$16.00","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"6","IBProduce","4074472","ZUCCHINI, GREEN FRESH REF SQUASH","PACKER",20 LB,"","$21.72","CS","PRODUCE, FRESH","REF 41 - 50"
"7","IBProduce","3114824","LIME, 36 COUNT FRESH REF","PACKER",36 EA,"","$30.84","CS","PRODUCE, FRESH","REF 51 - 70"
"8","IBProduce","4221933","PINEAPPLE, GOLDEN FRESH REF","PACKER",4-7 EA,"","$24.15","CS","PRODUCE, FRESH","REF 41 - 50"
"9","IBProduce","9007303","TOMATO, 5X6 ROUND BULK FRESH REF","PACKER",25 LB,"","$31.70","CS","PRODUCE, FRESH","REF 51 - 70"
"10","IBProduce","6264014","TOMATO, GRAPE RED FRESH REF","PACKER",12/1 PT,"","$18.06","CS","PRODUCE, FRESH","REF 51 - 70"
"11","IBProduce","9228446","CARROT, JUMBO FRESH REF","PACKER",25 LB,"","$15.99","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"12","IBProduce","8072704","CUCUMBER, ENGLISH SEEDLESS FRESH REF","PACKER",12 EA,"","$15.14","CS","PRODUCE, FRESH","REF 41 - 50"
"13","IBProduce","5365192","GARLIC, WHITE WHOLE CLOVE PEELED FRESH REF","PACKER",4/5 LB,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"14","IBProduce","7217979","LETTUCE, ROMAINE HEART FRESH REF","PACKER",12/3 EA,"","$30.47","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"15","IBProduce","8326696","ONION, YELLOW JUMBO 3+ BAG FRESH REF","CROSS VALLEY FARMS",50 LB,"","$27.99","CS","PRODUCE, FRESH","REF 51 - 70"
"16","IBProduce","7228448","CARROT, JUMBO FRESH REF","PACKER",50 LB,"","$33.03","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"17","IBProduce","7006521","ONION, RED JUMBO FRESH REF","PACKER",25 LB,"","$0.00","","PRODUCE, FRESH","REF 51 - 70"
"18","IBProduce","9546982","ARUGULA, BABY WILD CLEANED LOOSE LEAF BAG FRESH REF","CROSS VALLEY FARMS",2/2 LB,"","$18.85","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"19","IBProduce","3355294","LETTUCE, GREEN LEAF CLEANED and TRIMMED FRESH REF BAG","CROSS VALLEY FARMS",2/5 LB,"","$29.35","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"20","IBProduce","6419329","MUSHROOM, PORTABELLA CAP 4-4 1/2 DESTEMMED FRESH REF","CROSS VALLEY FARMS",3 LB,"","$22.75","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"21","IBProduce","9046103","KALE, CLEANED and TRIMMED FRESH REF","PACKER",4/2.5 LB,"","$39.29","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"22","IBProduce","2012150","PEPPER, JALAPENO FRESH REF","PACKER",10 LB,"","$19.49","CS","PRODUCE, FRESH","REF 41 - 50"
"23","IBProduce","1028515","PEPPER, BELL RED LARGE FRESH REF","RENZI ACQUISITION",11 LB,"","$33.31","CS","PRODUCE, FRESH","REF 41 - 50"
"24","IBProduce","6793301","APPLE, RED DELICIOUS 113 COUNT FRESH REF","PACKER",113 EA,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"25","IBProduce","8073348","CUCUMBER, SUPER SELECT FRESH REF","PACKER",40 LB,"","$42.56","CS","PRODUCE, FRESH","REF 41 - 50"
"26","IBProduce","4056479","GRAPE, GREEN SEEDLESS FRESH REF","PACKER",16-18 LB,"","$31.85","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"27","IBProduce","6579288","CILANTRO, FRESH HERB","PACKER",30 EA,"","$27.59","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"28","IBProduce","2155893","KALE, FLOWERING CLEANED and TRIMMED FRESH REF","PACKER",2/2.5 LB,"","$36.80","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"29","IBProduce","5384284","LEMON, FRESH REF","PACKER",8 LB,"","$10.85","CS","PRODUCE, FRESH","REF 41 - 50"
"30","IBProduce","1037373","BLUEBERRY, FRESH REF","PACKER",12/1 PT,"","$33.60","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"31","IBProduce","4030169","ONION, WHITE JUMBO FRESH REF","PACKER",25 LB,"","$37.68","CS","PRODUCE, FRESH","REF 51 - 70"
"32","IBProduce","7428216","ORANGE, 88 COUNT FANCY NAVEL OR VALENCIA REGIONAL FRESH REF","SUNKIST",88 EA,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"33","IBProduce","3355887","PEPPER, JALAPENO FRESH REF","PACKER",3 LB,"","$15.45","CS","PRODUCE, FRESH","REF 41 - 50"
"34","IBProduce","1028511","PEPPER, BELL GREEN JUMBO FRESH REF","RENZI ACQUISITION",20 LB,"","$28.49","CS","PRODUCE, FRESH","REF 41 - 50"
"35","IBProduce","1050516","LETTUCE, ROMAINE HEART BOX FRESH REF","RENZI ACQUISITION",6/3 EA,"","$29.71","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"36","IBProduce","1205582","STRAWBERRY, CLAMSHELL FRESH REF","PACKER",8/1 LB,"","$31.11","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
