Item Code,Quantity
0327270,1
275976-9,1
275975-1,2
286595-4,2
215786-5,1
1513555,2
2802668,1
280261-9,1
223893-9,1
223894-7,3
223791-5,2
030570-6,2
289451-7,1
289449-1,1
289446-7,1
1109826,2
227347-2,2
2273464,2
112599-6,1
2846376,1
236946-0,1
2066751,1
044593-2,1
044595-7,1
190143-8,1
0584847,1
173964-8,1
179989-9,1
213820-4,1
236607-8,1
233598-2,1
223761-8,1
258847-3,1
150891-0,1
190283-2,1
078727-5,1
291971-0,1
285868-6,1
285872-8,1
074419-3,1
090142-1,1
1168293,1
0664003,1
0102152,1
0233338,1
