Item Code,Quantity
2273316,2
227347-2,2
2273399,3
153498-1,2
153503-8,3
244849-6,4
223791-5,4
223894-7,4
223893-9,3
0327270,3
1109826,2
289446-7,4
289447-5,4
289448-3,4
289449-1,4
289451-7,4
030570-6,2
2802668,2
280251-0,1
236946-0,1
236948-6,1
183096-7,2
183090-0,2
1168293,1
1815422,1
1182781,1
2950202,1
202150-9,1
201159-1,1
248541-5,1
248537-3,1
0647743,2
0647719,2
285855-3,1
0538801,1
285863-7,1
291971-0,1
0921973,1
213594-5,1
213596-0,1
1858596,1
286595-4,1
275975-1,1
275976-9,1
173967-1,1
173964-8,3
164034-1,1
173965-5,1
117597-5,1
113813-0,1
213614-1,1
0554865,1
162243-0,1
241820-0,1
066400-3,1
2273464,2
289450-9,2
039986-5,1
306560-4,2
1265040,1
2802650,1
252692-9,1
220233-1,1
162247-1,1
