Item Code,Quantity
267463-8,1.0
030570-6,1.0
289448-3,1.0
289446-7,1.0
223893-9,1.0
223791-5,1.0
227347-2,1.0
2273266,1.0
280251-0,1.0
289449-1,1.0
2273316,1.0
289450-9,1.0
289451-7,1.0
289447-5,1.0
284465-2,1.0
0647743,2.0
047216-7,1.0
201159-1,1.0
056081-3,1.0
039986-5,1.0
151758-0,1.0
113813-0,1.0
117597-5,1.0
113815-5,1.0
1551282,1.0
236947-8,1.0
236945-2,1.0
236946-0,1.0
272156-1,1.0
272155-3,1.0
272154-6,1.0
126503-2,1.0
162243-0,1.0
253939-3,1.0
218562-7,1.0
218561-9,2.0
2846376,1.0
291971-0,1.0
