Item Code,Quantity
2273464,1.0
2273316,1.0
2273399,1.0
223791-5,3.0
223894-7,2.0
223893-9,3.0
231659-4,1.0
231679-2,1.0
0327270,1.0
267463-8,1.0
272451-6,1.0
2724508,1.0
289451-7,1.0
289447-5,1.0
289446-7,1.0
206050-7,2.0
284465-2,1.0
201159-1,1.0
0467480,1.0
0647743,1.0
0647719,1.0
0921973,1.0
223761-8,1.0
233598-2,1.0
126504-0,1.0
1265040,1.0
179991-5,1.0
179989-9,1.0
286595-4,1.0
275975-1,1.0
275976-9,1.0
164034-1,1.0
173965-5,1.0
290143-7,1.0
290140-3,1.0
280622-2,1.0
253938-5,1.0
2066751,1.0
126506-5,1.0
213596-0,1.0
213614-1,1.0
285868-6,1.0
