"H","L0601","027","218248","IBProduce","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","7199706",,,,,,"2","5 LB","LB","IMPERIAL FRESH",,"Lettuce Greens Leaf Washed & Trimmed","Produce",25.58,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","3855251",,,,,,"1","2 CT","CT","IMPERIAL FRESH",,"Melon Watermelon Seedless Fresh","Produce",52.45,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1268572",,,,,,"1","125 CT","CT","RELIANCE FRESH",,"Apple Red Delicious Fancy Fresh","Produce",53.87,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","1735372",,,,,,"1","12CT","CT","RELIANCE FRESH",,"Cucumbers English Long","Produce",12.99,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","1120625",,,,,,"1","24 CT","CT","IMPERIAL FRESH",,"Celery Fresh","Produce",40.72,,"N",,false,,0,63,,"STOCKED",,"N",,
"P","6056907",,,,,,"2","5 LB","LB","IMPERIAL FRESH",,"Mushroom Sliced Tubs Fresh","Produce",27.44,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","7210106",,,,,,"10","5 LB","LB","IMPERIAL FRESH",,"Onion Red Jumbo Sack","Produce",,6.29,"N",,true,,1,50,,"STOCKED",,"N",,
"P","6894232",,,,,,"1","5 LB","LB","IMPERIAL FRESH",,"Radish Red Fresh","Produce",19.73,,"N",,false,,0,5,,"STOCKED",,"N",,
"P","8878589",,,,,,"1","50 LB","LB","IMPERIAL FRESH",,"Onion White Jumbo Box","Produce",74.76,,"N",,false,,0,50,,"STOCKED",,"N",,
"P","1810910",,,,,,"2","5 LB","LB","IMPERIAL FRESH",,"Bean Green Trimmed Fresh","Produce",28.62,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","2252039",,,,,,"1","140 CT","CT","RELIANCE FRESH",,"Lemon Choice Fresh","Produce",44.8,,"N",,false,,0,41,,"STOCKED",,"N",,
"P","2227007",,,,,,"1","25 LB","LB","IMPERIAL FRESH",,"Carrots Fresh Jumbo","Produce",26.61,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","2416691",,,,,,"4","12 CT","CT","SYSCO/FRESHPOINT NATURAL",,"Lettuce Romaine Heart Fresh","Produce",49.77,,"N",,false,,0,26,,"STOCKED",,"N",,
"P","1763432",,,,,,"1","25 LB","LB","IMPERIAL FRESH",,"Tomato Bulk Packed 5x6 Fresh","Produce",39.39,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","1675701",,,,,,"4","5 LB","LB","IMPERIAL FRESH",,"Cabbage Green Shredded Fresh In Bag","Produce",24.88,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","4868220",,,,,,"1","5 LB","LB","IMPERIAL FRESH",,"Mushroom Portabella Cp Lrg Fsh","Produce",26.63,,"N",,false,,0,5,,"STOCKED",,"N",,
"P","1243724",,,,,,"12","EA","EA","IMPERIAL FRESH",,"Cauliflower Cello Wrapped Fresh","Produce",30.08,,"N",,false,,0,32,,"STOCKED",,"N",,
"P","1821537",,,,,,"4","5 LB","LB","IMPERIAL FRESH",,"Garlic Peeled Fresh","Produce",77.66,23.3,"N",,true,,1,20,,"STOCKED",,"N",,
"P","1008143",,,,,,"1","24CT","CT","PACKER",,"Kale Fresh","Produce",27.45,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","4615704",,,,,,"1","22-25#","LB","PROPACK",,"Pepper Red Bell Choice Fresh","Produce",49.35,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","1420330",,,,,,"1","22-25#","LB","PROPACK",,"Pepper Greens Bell Large Fresh","Produce",30,,"N",,false,,0,25,,"STOCKED",,"N",,
"P","9376765",,,,,,"1","CASE",,"PACKER",,"Pears Fresh","Produce",70.35,,"N",,false,,0,40,,"STOCKED",,"N",,
