Item Code,Quantity
2846376,1
1858588,1
1858596,1
291971-0,1
0445320,1
0681973,1
0681817,1
294004-7,1
058486-2,1
0252387,1
0584847,1
280264-3,2
280251-0,2
280261-9,2
2802668,1
1513555,1
289448-3,2
289449-1,1
289451-7,1
030570-6,2
2273399,1
153498-1,1
153503-8,1
244849-6,1
223791-5,1
223894-7,1
0327270,2
236947-8,1
284465-2,1
0901439,1
1182781,1
1815422,1
2198364,1
090142-1,1
0467480,1
183096-7,1
183090-0,1
117021-6,1
1170059,1
0647743,2
0647719,2
1101179,1
0921965,1
0921973,1
213594-5,1
213596-0,1
213614-1,1
215786-5,1
275975-1,1
168954-6,1
1689553,1
151758-0,1
113813-0,1
117597-5,1
1551282,1
083961-3,1
044593-2,1
