"H","L0601","027","218248","IBProduce","5bffa965-3450-40f9-a432-3a66198309af-dbmgv2","C",,,,,,,,,,,,,,,,,,,,,
"F","SUPC","Case Qty","Split Qty","Code","Item Status","Replaced Item","Pack","Size","Unit","Brand","Mfr #","Desc","Cat","Case $","Split $","Per Lb","Market","Splittable","Splits","Min Split","Net Wt","Lead Time","Stock","Substitute","Agr",,
"P","7199706",,,,,,"2","5 LB","LB","IMPERIAL FRESH","10074865447109","Lettuce Greens Leaf Washed & Trimmed","Produce",38.07,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","3855251",,,,,,"1","2 CT","CT","IMPERIAL FRESH","3855251","Melon Watermelon Seedless Fresh","Produce",33.85,,"N",,false,,0,20,,"STOCKED",,"N",,
"P","1268572",,,,,,"1","125 CT","CT","RELIANCE FRESH","","Apple Red Delicious Fancy Fresh","Produce",47.95,,"N",,false,,0,40,,"STOCKED",,"N",,
"P","1735372",,,,,,"1","12CT","CT","RELIANCE FRESH","","Cucumbers English Long","Produce",13.95,,"N",,false,,0,12,,"STOCKED",,"N",,
"P","1120625",,,,,,"1","24 CT","CT","IMPERIAL FRESH","","Celery Fresh","Produce",63.13,,"N",,false,,0,63,,"STOCKED",,"N",,
"P","6056907",,,,,,"2","5 LB","LB","IMPERIAL FRESH","","Mushroom Sliced Tubs Fresh","Produce",25.1,14.74,"N",,true,,1,10,,"STOCKED",,"N",,
"P","7210106",,,,,,"10","5 LB","LB","IMPERIAL FRESH","JROS10-5","Onion Red Jumbo Sack","Produce",,6.95,"N",,true,,1,50,,"STOCKED",,"N",,
"P","6894232",,,,,,"1","5 LB","LB","IMPERIAL FRESH","6894232","Radish Red Fresh","Produce",23.65,,"N",,false,,0,5,,"STOCKED",,"N",,
"P","1810910",,,,,,"2","5 LB","LB","IMPERIAL FRESH","1810910","Bean Green Trimmed Fresh","Produce",34.82,,"N",,false,,0,10,,"STOCKED",,"N",,
"P","2252039",,,,,,"1","140 CT","CT","RELIANCE FRESH","01388","Lemon Choice Fresh","Produce",51.16,,"N",,false,,0,41,,"STOCKED",,"N",,
"P","2227007",,,,,,"1","25 LB","LB","IMPERIAL FRESH","00074865271714","Carrots Fresh Jumbo","Produce",35.85,,"N",,false,,0,25,,"STOCKED",,"N",,
