Line Number,Group Name,Product Number,Product Description,Product Brand,Product Package Size,Customer Product Number,Product Price,Product UOM,USF Class Description,Storage Description
"1","IBProduce","1457100","HONEYDEW, 5-6 COUNT FRESH REF MELON","PACKER",5-6 EA,"","$35.21","CS","PRODUCE, FRESH","REF 41 - 50"
"2","IBProduce","1326438","ONION, GREEN TRIMMED ICELESS FRESH REF SCALLION                            ","CROSS VALLEY FARMS",4/2 LB      ,"","$19.85","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"3","IBProduce","1072786","PEPPER, BELL GREEN EXTRA-LARGE FRESH REF","RENZI ACQUISITION",10 LB,"","$42.12","CS","PRODUCE, FRESH","REF 41 - 50"
"4","IBProduce","8010498","POTATO, RED A SIZE FRESH REF","PACKER",50 LB,"","$33.21","CS","PRODUCE, FRESH","REF 41 - 50"
"5","IBProduce","4425690","SPINACH, BABY FLAT LEAF PILLOW PACK FRESH REF                              ","CROSS VALLEY FARMS",4 LB        ,"","$13.77","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"6","IBProduce","4074472","ZUCCHINI, GREEN FRESH REF SQUASH","PACKER",20 LB,"","$39.40","CS","PRODUCE, FRESH","REF 41 - 50"
"7","IBProduce","3114824","LIME, 36 COUNT FRESH REF","PACKER",36 EA,"","$26.53","CS","PRODUCE, FRESH","REF 51 - 70"
"8","IBProduce","4221933","PINEAPPLE, GOLDEN FRESH REF","PACKER",4-7 EA,"","$27.81","CS","PRODUCE, FRESH","REF 41 - 50"
"9","IBProduce","9007303","TOMATO, 5X6 ROUND BULK FRESH REF","PACKER",25 LB,"","$0.00","","PRODUCE, FRESH","REF 51 - 70"
"10","IBProduce","6264014","TOMATO, GRAPE RED FRESH REF","PACKER",12/1 PT,"","$0.00","","PRODUCE, FRESH","REF 51 - 70"
"11","IBProduce","9228446","CARROT, JUMBO FRESH REF","PACKER",25 LB,"","$32.24","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"12","IBProduce","8072704","CUCUMBER, ENGLISH SEEDLESS FRESH REF                                       ","PACKER",12 EA       ,"","$15.58","CS","PRODUCE, FRESH","REF 41 - 50"
"13","IBProduce","5365192","GARLIC, WHITE WHOLE CLOVE PEELED FRESH REF","PACKER",4/5 LB,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"14","IBProduce","7217979","LETTUCE, ROMAINE HEART FRESH REF","PACKER",12/3 EA,"","$64.99","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"15","IBProduce","8326696","ONION, YELLOW JUMBO 3+ FRESH REF BAG                                      ","CROSS VALLEY FARMS",50 LB       ,"","$32.96","CS","PRODUCE, FRESH","REF 51 - 70"
"16","IBProduce","2054542","CARROT, BULK FRESH REF","PACKER",50 LB,"","$44.11","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"17","IBProduce","7006521","ONION, RED JUMBO FRESH REF","PACKER",25 LB,"","$0.00","","PRODUCE, FRESH","REF 51 - 70"
"18","IBProduce","9546982","ARUGULA, BABY CLEANED LOOSE LEAF WILD FRESH REF BAG                        ","CROSS VALLEY FARMS",2/2 LB      ,"","$15.36","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"19","IBProduce","3355294","LETTUCE, GREEN LEAF CLEANED and TRIMMED FRESH REF BAG","CROSS VALLEY FARMS",2/5 LB,"","$35.80","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"20","IBProduce","6419329","MUSHROOM, PORTABELLA CAP 4-4 1/2 DESTEMMED FRESH REF                      ","CROSS VALLEY FARMS",3 LB        ,"","$23.00","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"21","IBProduce","9046103","KALE, CLEANED and TRIMMED FRESH REF                                          ","PACKER",4/2.5 LB    ,"","$35.79","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"22","IBProduce","2012150","PEPPER, JALAPENO FRESH REF","PACKER",10 LB,"","$23.17","CS","PRODUCE, FRESH","REF 41 - 50"
"23","IBProduce","1028515","PEPPER, BELL RED LARGE FRESH REF","RENZI ACQUISITION",11 LB,"","$36.44","CS","PRODUCE, FRESH","REF 41 - 50"
"24","IBProduce","8073348","CUCUMBER, SUPER SELECT FRESH REF                                           ","PACKER",40 LB       ,"","$0.00","","PRODUCE, FRESH","REF 41 - 50"
"25","IBProduce","4056479","GRAPE, GREEN SEEDLESS FRESH REF                                            ","PACKER",16-18 LB    ,"","$60.82","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"26","IBProduce","6579288","CILANTRO, FRESH HERB","PACKER",30 EA,"","$27.71","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"27","IBProduce","2155893","KALE, FLOWERING CLEANED and TRIMMED FRESH REF","PACKER",2/2.5 LB,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"28","IBProduce","5384284","LEMON, FRESH REF","PACKER",8 LB,"","$16.41","CS","PRODUCE, FRESH","REF 41 - 50"
"29","IBProduce","1037373","BLUEBERRY, FRESH REF","PACKER",12/1 PT,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"30","IBProduce","4030169","ONION, WHITE JUMBO FRESH REF                                               ","PACKER",25 LB       ,"","$45.70","CS","PRODUCE, FRESH","REF 51 - 70"
"31","IBProduce","7428216","ORANGE, 88 COUNT FANCY NAVEL OR VALENCIA REGIONAL FRESH REF","SUNKIST",88 EA,"","$0.00","","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"32","IBProduce","3355887","PEPPER, JALAPENO FRESH REF","PACKER",3 LB,"","$18.30","CS","PRODUCE, FRESH","REF 41 - 50"
"33","IBProduce","1028511","PEPPER, BELL GREEN JUMBO FRESH REF","RENZI ACQUISITION",20 LB,"","$0.00","","PRODUCE, FRESH","REF 41 - 50"
"34","IBProduce","1050516","LETTUCE, ROMAINE HEART BOX FRESH REF                                       ","RENZI ACQUISITION",6/3 EA      ,"","$58.12","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"35","IBProduce","1205582","STRAWBERRY, CLAMSHELL FRESH REF                                            ","PACKER",8/1 LB      ,"","$35.62","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"36","Unassigned Group","4052171","APPLE, MCINTOSH 120 COUNT FRESH REF","PACKER",120 EA,"","$27.25","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"37","Unassigned Group","2016442","WATERMELON, SEEDLESS FRESH REF","PACKER",1 EA,"","$11.52","CS","PRODUCE, FRESH","REF 51 - 70"
"38","Unassigned Group","7326432","PARSLEY, WASHED and DESTEMMED FRESH HERB BAG                                 ","CROSS VALLEY FARMS",4/1 LB      ,"","$24.00","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"39","Unassigned Group","2326445","SALAD MIX, MESCLUN SPRING BAG FRESH REF LETTUCE","CROSS VALLEY FARMS",3 LB,"","$11.25","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
"40","Unassigned Group","3332830","COLESLAW MIX, SHRED CABBAGE GREEN and RED W/ CARROT SEPARATE FRESH REF       ","CROSS VALLEY FARMS",4/5 LB      ,"","$20.35","CS","PRODUCE, FRESH","REF 33 - 40 HI HUMIDITY"
