Item Code,Quantity
267463-8,1.0
280251-0,1.0
280264-3,1.0
2273464,1.0
2273266,1.0
2273316,1.0
227339-9,2.0
1513555,2.0
110982-6,2.0
032727-0,1.0
215786-5,2.0
275976-9,1.0
223894-7,1.0
244850-4,1.0
231826-9,1.0
250225-0,1.0
155295-9,1.0
314142-1,1.0
267465-3,1.0
315093-5,1.0
271545-6,1.0
0233338,1.0
279233-1,1.0
090142-1,1.0
047216-7,1.0
285859-5,1.0
285854-6,1.0
290624-6,1.0
310634-1,1.0
150891-0,1.0
264256-9,1.0
044593-2,1.0
044594-0,1.0
236946-0,1.0
236948-6,1.0
0431726,1.0
074419-3,1.0
0193292,1.0
0467480,1.0
056081-3,1.0
290143-7,1.0
220232-3,1.0
269248-1,1.0
162243-0,1.0
162252-1,1.0
0647743,1.0
0647719,1.0
039986-5,1.0
291971-0,1.0
253941-9,1.0
253939-3,1.0
253938-5,1.0
2541324,1.0
2681278,1.0
113815-5,1.0
258846-5,1.0
