Item Code,Quantity
032727-0,1.0
1513555,1.0
223894-7,1.0
223791-5,1.0
289449-1,1.0
0252387,1.0
0681817,1.0
0445320,1.0
294004-7,1.0
0584847,1.0
1858588,1.0
0921965,1.0
047216-7,1.0
0467480,1.0
113813-0,1.0
151758-0,1.0
1551282,1.0
236945-2,1.0
236946-0,1.0
236947-8,1.0
236948-6,1.0
2858603,1.0
1182781,1.0
0431726,1.0
1168293,1.0
215786-5,1.0
275976-9,1.0
0647743,1.0
0647719,1.0
083961-3,1.0
183090-0,1.0
183096-7,1.0
291971-0,1.0
2846376,1.0
127801-9,1.0
159516-4,1.0
090142-1,1.0
309752-4,1.0
118900-0,1.0
118902-6,1.0
289447-5,1.0
289451-7,1.0
253938-5,1.0
253940-1,1.0
267465-3,1.0
258846-5,1.0
258847-3,1.0
223761-8,1.0
1855071,1.0
264256-9,1.0
179991-5,1.0
179989-9,1.0
292518-8,1.0
232698-1,1.0
231826-9,1.0
