Item Code,Quantity
223893-9,2.0
032727-0,1.0
110982-6,1.0
289446-7,2.0
289447-5,2.0
289449-1,3.0
289451-7,2.0
267463-8,1.0
267465-3,1.0
030570-6,1.0
206050-7,1.0
0647743,1.0
0647719,1.0
280622-2,1.0
290143-7,1.0
290140-3,1.0
264256-9,1.0
179991-5,1.0
179989-9,1.0
309752-4,2.0
227339-9,1.0
227347-2,1.0
2273316,1.0
223894-7,1.0
223897-0,1.0
272451-6,2.0
2802668,1.0
127801-9,1.0
159516-4,1.0
118900-0,1.0
118902-6,1.0
1858588,1.0
083961-3,1.0
291971-0,1.0
2846376,1.0
2541324,1.0
2681286,1.0
047216-7,1.0
0467480,1.0
0125385,1.0
