Item Code,Quantity
223897-0,2.0
267463-8,1.0
2724508,1.0
289451-7,3.0
289449-1,2.0
289446-7,2.0
289448-3,2.0
289447-5,2.0
2802668,1.0
280261-9,1.0
280251-0,1.0
280264-3,1.0
294006-2,1.0
058486-2,1.0
0899856,1.0
0681817,1.0
0445320,1.0
065130-7,3.0
153503-8,1.0
153498-1,1.0
030570-6,4.0
1551282,1.0
117597-5,1.0
113813-0,1.0
151758-0,1.0
047216-7,1.0
044638-5,1.0
039986-5,1.0
285868-6,1.0
0921973,1.0
236947-8,2.0
236948-6,1.0
236945-2,2.0
0647719,2.0
018328-4,1.0
074419-3,1.0
0193292,1.0
032727-0,3.0
2273316,1.0
110982-6,1.0
227339-9,1.0
227347-2,2.0
2273464,1.0
223893-9,2.0
223894-7,1.0
223791-5,3.0
