Item Code,Quantity
2273464,1.0
2273316,1.0
227347-2,1.0
153503-8,1.0
223791-5,1.0
032727-0,1.0
289446-7,2.0
289447-5,2.0
289448-3,2.0
289449-1,2.0
289451-7,2.0
030570-6,2.0
2724508,1.0
272451-6,1.0
267463-8,1.0
280264-3,1.0
280251-0,1.0
280261-9,1.0
2802668,1.0
236946-0,1.0
236945-2,1.0
236948-6,1.0
236947-8,1.0
047216-7,1.0
0467480,1.0
183096-7,1.0
183090-0,1.0
280622-2,1.0
290143-7,1.0
0647743,1.0
0647719,1.0
285868-6,1.0
285863-7,1.0
078727-5,1.0
0921965,1.0
0921973,1.0
2066751,1.0
126504-0,1.0
179989-9,1.0
179991-5,1.0
264256-9,1.0
083961-3,1.0
044593-2,1.0
264700-6,1.0
150891-0,1.0
