CUSTOMER NUMBER,DISTRIBUTOR,DEPARTMENT,DATE,PO NUMBER,PRODUCT NUMBER,CUST PROD #,DESCRIPTION,BRAND,PACK SIZE,CS PRICE,EA PRICE,CS,EA,EXTENDED PRICE,ORDER #,STOCK STATUS,EXCEPTIONS / AUTO-SUB,SHORTED
11602976,2195,0,20251121,Collegetown,1027629,,,,,,,5,0,,,,,
11602976,2195,0,20251121,Collegetown,2377760,,,,,,,2,0,,,,,
11602976,2195,0,20251121,Collegetown,3737152,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,3791747,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,8600421,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,8910127,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,8495343,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,6426621,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,1030194,,,,,,,2,0,,,,,
11602976,2195,0,20251121,Collegetown,3357597,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,1027038,,,,,,,1,0,,,,,
11602976,2195,0,20251121,Collegetown,1667864,,,,,,,6,0,,,,,
11602976,2195,0,20251121,Collegetown,4688660,,,,,,,1,0,,,,,
