2025-10-08 07:26:12,906 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 07:27:19,794 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 07:27:50,258 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:43:54,776 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:44:20,216 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:50:10,715 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:51:18,614 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:52:16,706 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:53:14,569 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:54:53,132 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:55:07,739 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:55:32,549 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:55:56,717 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 08:57:25,568 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 10:21:26,353 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 10:23:45,803 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
2025-10-08 10:24:33,420 - INFO - backend.app.application.orders.GetOrders - (orders.py:53) - Getting order vendors=['Bakery'], stores=['Hill & Markes'], dates=None
