2025-11-15 14:29:42,307 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251107, items=37 >
2025-11-15 14:30:11,533 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251107, items=37 >
2025-11-15 14:30:11,535 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251107, items=34 >
2025-11-15 14:30:11,537 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251106, items=32 >
2025-11-15 14:30:11,539 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251107, items=20 >
2025-11-15 14:30:11,541 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251107, items=25 >
2025-11-15 14:30:11,543 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-01, items=40 >
2025-11-15 14:30:11,544 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-08, items=35 >
2025-11-15 14:30:11,546 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-15, items=36 >
2025-11-15 14:30:11,547 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-22, items=41 >
2025-11-15 14:30:11,548 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-29, items=43 >
2025-11-15 14:30:11,549 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251024, items=35 >
2025-11-15 14:30:11,550 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251103, items=27 >
2025-11-15 14:30:11,551 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-01, items=47 >
2025-11-15 14:30:11,552 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-08, items=42 >
2025-11-15 14:30:11,554 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-15, items=53 >
2025-11-15 14:30:11,555 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-22, items=39 >
2025-11-15 14:30:11,556 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-29, items=37 >
2025-11-15 14:30:11,557 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251024, items=38 >
2025-11-15 14:30:11,558 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251103, items=37 >
2025-11-15 14:30:11,559 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-01, items=38 >
2025-11-15 14:30:11,560 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-08, items=46 >
2025-11-15 14:30:11,561 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-16, items=45 >
2025-11-15 14:30:11,563 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-21, items=36 >
2025-11-15 14:30:11,564 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-28, items=37 >
2025-11-15 14:30:11,565 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251024, items=24 >
2025-11-15 14:30:11,566 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251103, items=43 >
2025-11-15 14:30:11,567 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-01, items=29 >
2025-11-15 14:30:11,568 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-07, items=36 >
2025-11-15 14:30:11,569 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-15, items=32 >
2025-11-15 14:30:11,571 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-22, items=29 >
2025-11-15 14:30:11,572 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-29, items=29 >
2025-11-15 14:30:11,573 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251024, items=30 >
2025-11-15 14:30:11,574 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251103, items=34 >
2025-11-15 14:40:38,278 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-01, items=40 >
2025-11-15 14:40:38,280 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-08, items=35 >
2025-11-15 14:40:38,282 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-15, items=36 >
2025-11-15 14:40:38,284 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-22, items=41 >
2025-11-15 14:40:38,286 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=2025-08-29, items=43 >
2025-11-15 14:40:38,288 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251024, items=35 >
2025-11-15 14:40:38,289 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251103, items=27 >
2025-11-15 14:40:38,291 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Collegetown, date=20251107, items=37 >
2025-11-15 14:40:38,293 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-01, items=47 >
2025-11-15 14:40:38,294 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-08, items=42 >
2025-11-15 14:40:38,296 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-15, items=53 >
2025-11-15 14:40:38,298 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-22, items=39 >
2025-11-15 14:40:38,299 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=2025-08-29, items=37 >
2025-11-15 14:40:38,301 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251024, items=38 >
2025-11-15 14:40:38,303 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251103, items=37 >
2025-11-15 14:40:38,305 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Downtown, date=20251107, items=34 >
2025-11-15 14:40:38,308 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-01, items=38 >
2025-11-15 14:40:38,309 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-08, items=46 >
2025-11-15 14:40:38,311 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-16, items=45 >
2025-11-15 14:40:38,313 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-21, items=36 >
2025-11-15 14:40:38,315 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=2025-08-28, items=37 >
2025-11-15 14:40:38,316 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251024, items=24 >
2025-11-15 14:40:38,318 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251103, items=43 >
2025-11-15 14:40:38,320 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Easthill, date=20251106, items=32 >
2025-11-15 14:40:38,321 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Syracuse, date=20251107, items=20 >
2025-11-15 14:40:38,323 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-01, items=29 >
2025-11-15 14:40:38,325 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-07, items=36 >
2025-11-15 14:40:38,327 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-15, items=32 >
2025-11-15 14:40:38,328 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-22, items=29 >
2025-11-15 14:40:38,330 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=2025-08-29, items=29 >
2025-11-15 14:40:38,332 - INFO - backend.app.application.transfers.ArchiveTransfer - (transfers.py:55) - Archiving transfer: < Transfer origin=Bakery, destination=Triphammer, date=20251024, items=30 >
