Item Code,Quantity
267463-8,2.0
280251-0,1.0
280264-3,1.0
2273266,1.0
2273316,1.0
2273399,1.0
289447-5,1.0
289448-3,1.0
289446-7,1.0
215786-5,1.0
0431726,1.0
090142-1,1.0
0664003,1.0
109608-0,1.0
2198364,1.0
0193292,1.0
0467480,1.0
065381-6,1.0
047216-7,1.0
0180430,1.0
252415-5,1.0
285865-2,1.0
285872-8,1.0
118900-0,2.0
309752-4,2.0
312375-9,1.0
312374-2,1.0
118902-6,1.0
1265040,1.0
126504-0,1.0
126506-5,1.0
2066751,1.0
213614-1,1.0
213596-0,1.0
206050-7,1.0
284465-2,1.0
0647719,1.0
0647743,1.0
