Item Code,Quantity
2273316,1.0
289448-3,1.0
289449-1,1.0
289451-7,2.0
223791-5,1.0
223894-7,1.0
223893-9,1.0
280264-3,1.0
280251-0,1.0
1513555,1.0
227347-2,1.0
231659-4,1.0
231679-2,1.0
151758-0,1.0
113813-0,1.0
117597-5,1.0
0647743,2.0
0647719,2.0
0445320,1.0
0681817,1.0
236947-8,1.0
1551282,1.0
236946-0,1.0
236945-2,1.0
047216-7,1.0
0125385,1.0
201159-1,1.0
0467480,1.0
078727-5,1.0
0180430,1.0
0921965,1.0
0921973,1.0
1101179,1.0
264256-9,1.0
179991-5,1.0
112599-6,1.0
285863-7,1.0
285861-1,1.0
285868-6,1.0
1689181,1.0
1689298,1.0
157518-2,1.0
157512-5,1.0
