Item Code,Quantity
2273464,1.0
2273316,1.0
227347-2,1.0
2273399,1.0
223791-5,2.0
223893-9,2.0
032727-0,2.0
110982-6,1.0
289447-5,1.0
289448-3,1.0
289449-1,1.0
289451-7,2.0
030570-6,1.0
272451-6,1.0
267463-8,1.0
173967-1,1.0
173965-5,1.0
173964-8,1.0
280264-3,1.0
290140-3,1.0
309752-4,1.0
118900-0,1.0
118902-6,1.0
264700-6,1.0
1508878,1.0
151758-0,1.0
117597-5,1.0
225714-5,1.0
2257285,1.0
0921965,1.0
253941-9,1.0
253939-3,1.0
253940-1,1.0
253938-5,2.0
213596-0,1.0
213614-1,1.0
213594-5,1.0
283381-2,1.0
283383-8,1.0
280251-0,1.0
2802668,1.0
